host_since,host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel,amenities_category
2009-09-08,6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,8,5.0,33,81.37,1,1125,170,32,0.41,True,private,2.0,0,0,0,0,0,medium
2009-09-08,6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,4,1.0,33,51.5,1,1125,361,52,0.72,True,private,1.0,0,0,0,0,0,medium
2009-09-08,6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,2,1.0,30,39.14,1,1125,331,71,0.97,True,private,1.0,0,0,0,0,0,medium
2009-09-08,6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,4,2.0,32,49.44,1,1125,357,24,0.33,True,private,1.0,0,0,0,0,0,medium
2009-09-08,6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,4,1.0,33,48.410000000000004,1,1125,208,17,0.23,True,private,1.0,0,0,0,0,0,medium
2010-05-09,2.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97545,23.72892,Entire home/apt,4,2.0,44,60.77,2,1125,357,465,4.65,False,private,1.0,0,0,0,0,0,high
2010-05-28,1.0,True,False,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,1,0.0,10,40.17,1,730,0,0,0.0,False,shared,1.0,0,0,0,0,0,low
2010-06-17,2.0,False,False,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,5,2.0,31,30.900000000000002,5,365,363,71,0.94,False,private,1.0,0,0,0,0,0,medium
2010-09-06,5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,7,5.0,32,123.60000000000001,2,365,267,121,1.45,True,private,1.5,0,0,0,0,0,medium
2010-10-08,1.0,False,False,ΠΑΓΚΡΑΤΙ,37.969190000000005,23.74354,Entire home/apt,2,1.0,12,72.10000000000001,10,730,363,3,0.03,False,private,1.0,0,0,0,0,0,low
2010-11-14,1.0,True,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99018,23.72185,Entire home/apt,6,4.0,35,51.5,2,1125,323,343,3.31,True,private,2.0,0,0,0,0,0,high
2010-11-18,1.0,True,False,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,3,1.0,33,28.84,3,300,322,9,0.13,False,private,1.0,0,0,0,0,0,medium
2011-03-11,3.0,True,True,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.99257,23.70941,Entire home/apt,2,1.0,31,32.96,2,1125,298,458,4.51,False,private,1.5,0,0,0,0,0,medium
2011-03-20,1.0,False,False,ΣΤΑΔΙΟ,37.96519,23.74549,Entire home/apt,4,3.0,8,46.35,4,730,291,21,0.27,False,private,1.0,0,0,0,0,0,low
2011-03-28,1.0,False,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire home/apt,4,4.0,5,77.25,4,730,365,0,0.0,False,private,1.0,0,0,0,0,0,low
2011-05-19,1.0,True,False,ΑΚΡΟΠΟΛΗ,37.97267,23.72672,Entire home/apt,3,1.0,23,66.95,2,32,172,122,1.19,False,private,1.0,0,0,0,0,0,low
2011-05-29,9.0,True,False,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,5,0.0,34,57.68,2,365,360,31,0.58,True,private,1.5,0,0,0,0,0,high
2011-06-02,1.0,True,True,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,2,1.0,8,41.2,5,150,328,8,0.07,False,private,1.0,0,0,0,0,0,low
2011-05-29,9.0,True,False,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,7,7.0,32,71.07000000000001,2,365,345,46,0.45,True,private,1.0,0,0,0,0,0,medium
2011-06-07,1.0,True,False,ΠΑΓΚΡΑΤΙ,37.96783,23.7497,Entire home/apt,4,2.0,33,53.56,2,300,326,59,0.66,False,private,1.0,0,0,0,0,0,medium
2011-06-25,1.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,4,1.0,12,56.65,3,365,358,177,1.6,False,private,1.0,0,0,0,0,0,low
2011-06-17,4.0,False,True,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,3,0.0,25,61.800000000000004,2,365,353,31,0.39,True,private,1.0,0,0,0,0,0,low
2011-06-01,8.0,True,True,ΣΤΑΔΙΟ,37.966,23.74443,Entire home/apt,4,2.0,31,62.83,1,730,342,173,1.79,True,private,1.0,0,0,0,0,0,medium
2011-07-09,1.0,False,False,ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire home/apt,4,4.0,7,76.22,14,730,0,0,0.0,False,private,1.5,0,0,0,0,0,low
2011-07-24,3.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97436,23.73366,Entire home/apt,4,2.0,24,36.050000000000004,2,30,300,116,1.02,False,private,1.0,0,0,0,0,0,low
2011-07-28,2.0,False,False,ΓΚΑΖΙ,37.97858,23.709670000000003,Private room,2,1.0,5,30.900000000000002,7,730,0,0,0.0,False,private,1.0,0,0,0,0,0,low
2011-07-24,3.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire home/apt,2,1.0,23,37.08,2,30,306,51,0.44,False,private,1.0,0,0,0,0,0,low
2011-05-16,1.0,False,False,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire home/apt,4,1.0,12,132.87,5,365,365,1,0.01,False,private,1.0,0,0,0,0,0,low
2011-11-17,1.0,False,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,8,8.0,27,21.63,3,365,344,39,0.75,False,private,1.0,0,0,0,0,0,medium
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,4,1.0,45,62.83,2,1125,306,24,0.27,False,private,1.0,0,0,0,0,0,high
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,4,1.0,45,63.86,2,1125,317,11,0.19,False,private,1.0,0,0,0,0,0,high
2011-05-29,9.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99253,23.73115,Entire home/apt,8,8.0,18,46.35,2,730,85,57,0.71,True,private,1.0,0,0,0,0,0,low
2012-01-06,3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,2,1.0,33,198.79,2,1125,333,472,5.21,True,private,1.0,0,0,0,0,0,medium
2012-01-09,24.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,2,1.0,24,59.74,4,720,329,2,0.03,True,private,1.0,0,0,0,0,0,low
2012-02-28,1.0,False,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.0061,23.73453,Entire home/apt,4,3.0,7,59.74,2,1125,365,21,0.21,False,private,1.5,0,0,0,0,0,low
2012-02-28,5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,8,4.0,27,50.47,2,1125,0,195,1.69,True,private,1.0,0,0,0,0,0,medium
2011-06-26,4.0,True,True,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,3,1.0,21,66.95,2,365,340,446,3.93,True,private,1.0,0,0,0,0,0,low
