host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel
6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,8,5.0,medium,81.37,1,1125,170,32,0.41,True,private,2.0,0,1,1,0,1
6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,1.0,medium,51.5,1,1125,361,52,0.72,True,private,1.0,0,1,1,0,1
6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,2,1.0,medium,39.14,1,1125,331,71,0.97,True,private,1.0,0,0,1,0,1
6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,2.0,medium,49.44,1,1125,357,24,0.33,True,private,1.0,0,1,1,0,1
6.0,True,True,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,4,1.0,medium,48.410000000000004,1,1125,208,17,0.23,True,private,1.0,0,1,1,0,1
2.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,2.0,high,60.77,2,1125,357,465,4.65,False,private,1.0,0,1,1,0,1
1.0,True,False,ΚΕΡΑΜΕΙΚΟΣ,Private room,1,0.0,low,40.17,1,730,0,0,0.0,False,shared,1.0,0,0,0,1,0
2.0,False,False,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Entire home/apt,5,2.0,medium,30.900000000000002,5,365,363,71,0.94,False,private,1.0,0,1,1,0,0
5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,7,5.0,medium,123.60000000000001,2,365,267,121,1.45,True,private,1.5,0,1,1,1,0
1.0,False,False,ΠΑΓΚΡΑΤΙ,Entire home/apt,2,1.0,low,72.10000000000001,10,730,363,3,0.03,False,private,1.0,0,0,0,0,0
